ID,X,Y,Z
71619,-0.697249,-3.2473,5.51634
71618,0.492116,-1.32967,4.49333
71617,0.974662,-0.552547,3.92265
71616,1.00304,0.666301,3.59586
71615,0.954126,0.60935,3.76065
71614,1.43106,0.467626,1.53629
71613,1.49357,0.384029,1.5672
71611,-5.1519,-17.1612,-3.72403
71610,-3.57289,-11.781,0.228927
71609,1.30179,0.134018,1.67838
71608,1.28453,0.130809,1.68933
71607,-1.63281,-3.46993,5.4402
71605,-1.36498,-5.35264,4.03681
71604,1.31601,0.614153,3.40053
71603,0.785745,0.0841408,5.19294
71602,0.75433,0.439326,5.48693
71601,0.816406,1.22387,5.06815
71600,1.05029,-0.524158,3.73105
71592,-4.85788,-0.440994,-0.412206
71586,-4.86128,-0.00578247,-0.338632
71585,-4.88147,0.0240721,-0.280886
71584,-0.96496,-0.0322256,1.38227
71583,-4.8525,-0.643264,0.341407
71582,0.299738,-0.0232337,0.957129
71581,-4.85215,-0.036673,-0.337164
71580,-4.97329,-0.257381,0.194627
71577,0.931594,1.55892,5.85469
71570,0.0139203,-3.94153,-8.17058
71569,1.11021,-0.587126,3.9863
71568,0.561569,0.538069,6.39745
71567,0.917799,1.60923,5.94571
71566,2.1397,-1.88581,-3.41521
71565,2.17362,-1.84897,-3.81332
71564,1.07775,0.61092,3.35628
71563,2.53714,-1.77629,-3.35871
71562,2.53714,-1.77629,-3.35871
71561,2.23066,-2.35033,-3.20499
71560,2.23066,-2.35033,-3.20499
71559,0.725456,1.4643,6.0258
71558,0.723699,1.43549,6.03117
71557,2.76618,-6.40006,-7.5762
71556,1.16843,-0.536845,3.75537
71555,2.36879,-1.49937,-3.74583
71554,0.902607,0.979179,4.48108
71553,0.992005,0.651171,3.81562
71552,2.3835,-2.13483,-3.30804
71551,2.58248,-2.42811,-3.10835
71550,1.29021,0.206247,3.45716
71549,0.669408,0.22754,6.14663
71548,0.901478,1.74579,5.94906
71547,2.34735,-1.08762,-3.62678
71546,1.13969,0.502734,3.36889
71545,2.52332,-1.8834,-3.11529
71544,2.54146,-2.02829,-3.02734
71543,2.0505,-2.47481,-3.33666
71542,1.2948,0.178268,3.48916
71541,1.29242,0.105326,3.49143
71540,1.27736,-0.168028,3.60665
71539,0.339435,-1.77834,4.23901
71538,0.739028,1.59307,5.66023
71537,1.15129,1.0128,3.73749
71536,1.13682,0.98612,3.69445
71535,1.14852,0.956957,3.65225
71534,1.14852,0.956957,3.65225
71533,0.69693,1.66475,5.98212
71532,1.15055,0.918961,3.66462
